group,specification,history,minimum_articles,hac_lags,variable,n,n_hamas,n_taliban,n_farc,estimator,estimate,standard_error,p_value,ci_low,ci_high,uncertainty,joint_mle_success,fdr_p
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,physical_violence,171,70,69,32,joint_mle,1.492968312034785,0.5716925844299194,0.00901491570974784,0.372450846552143,2.613485777517427,inverse integrated-likelihood information,True,0.02704474712924352
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,fatalities_present,171,70,69,32,naive,0.7178552156114304,0.9919455292707707,0.46925969180856875,-1.2263580217592802,2.6620684529821412,conditional actor-specific HAC,,0.46925969180856875
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,fatalities_present,171,70,69,32,direct,0.5140408436442585,0.7615075023701208,0.49965634275528525,-0.9785138610011781,2.0065955482896953,conditional actor-specific HAC,,0.4996563427552852
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,fatalities_present,171,70,69,32,bca,0.594722612885802,0.7615075023701208,0.43481388423661615,-0.8978320917596346,2.0872773175312385,conditional actor-specific HAC,,0.4348138842366162
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,fatalities_present,171,70,69,32,bcm,0.6097437541805067,0.7615075023701208,0.42330177089787974,-0.8828109504649299,2.1022984588259432,conditional actor-specific HAC,,0.42330177089787974
Temporal aggregation,Calendar month,approximately 12 weeks,40,3,fatalities_present,171,70,69,32,joint_mle,0.5422899705046507,0.6489392947926135,0.40334849390099653,-0.7296310472888716,1.814210988298173,inverse integrated-likelihood information,True,0.40334849390099653
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,direct_conflict_relevance,360,144,152,64,naive,0.9629453167453126,0.6248111586440986,0.12327342946609249,-0.26168455419712067,2.187575187687746,conditional actor-specific HAC,,0.18491014419913873
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,direct_conflict_relevance,360,144,152,64,direct,0.6497589999364213,0.41889416850551936,0.120870711363836,-0.1712735703343966,1.4707915702072392,conditional actor-specific HAC,,0.181306067045754
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,direct_conflict_relevance,360,144,152,64,bca,0.7597200479667013,0.41889416850551936,0.06973433447345125,-0.061312522304116546,1.5807526182375193,conditional actor-specific HAC,,0.10460150171017688
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,direct_conflict_relevance,360,144,152,64,bcm,0.7821199700879693,0.41889416850551936,0.06188673514591695,-0.03891260018284859,1.6031525403587872,conditional actor-specific HAC,,0.09283010271887543
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,physical_violence,360,144,152,64,naive,1.0296796042518763,0.401955697812019,0.010416893890911801,0.24184643654031912,1.8175127719634334,conditional actor-specific HAC,,0.031250681672735404
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,physical_violence,360,144,152,64,direct,0.7304621791913988,0.28839403137785535,0.011313559981626163,0.1652098776908023,1.2957144806919954,conditional actor-specific HAC,,0.03394067994487849
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,physical_violence,360,144,152,64,bca,0.8284028730585125,0.28839403137785535,0.004072782222424724,0.263150571557916,1.3936551745591088,conditional actor-specific HAC,,0.012218346667274171
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,physical_violence,360,144,152,64,bcm,0.8435681753252866,0.28839403137785535,0.0034439622383409577,0.27831587382469014,1.4088204768258832,conditional actor-specific HAC,,0.010331886715022873
Inference,Twelve-lag HAC bandwidth,three two-week fatality terms,20,12,fatalities_present,360,144,152,64,naive,0.1994809275113886,0.3793969477876416,0.5990381410853705,-0.544137090152389,0.9430989451751661,conditional actor-specific HAC,,0.5990381410853705
